Date,Open,High,Low,Close,Adj Close,Volume
2023-07-18,6800.000000,6850.000000,6650.000000,6775.000000,6775.000000,10925700
2023-07-20,6775.000000,6825.000000,6700.000000,6700.000000,6700.000000,6440300
2023-07-21,6700.000000,7050.000000,6500.000000,6950.000000,6950.000000,29539000
2023-07-24,6950.000000,7075.000000,6875.000000,6950.000000,6950.000000,13990300
2023-07-25,6975.000000,7125.000000,6950.000000,7000.000000,7000.000000,13293800
2023-07-26,7025.000000,7050.000000,6800.000000,6825.000000,6825.000000,8358500
2023-07-27,6825.000000,6900.000000,6675.000000,6675.000000,6675.000000,9332800
2023-07-28,6650.000000,6750.000000,6600.000000,6750.000000,6750.000000,5518200
2023-07-31,6800.000000,6975.000000,6700.000000,6975.000000,6975.000000,10793100
2023-08-01,6875.000000,6875.000000,6700.000000,6725.000000,6725.000000,7657700
2023-08-02,6725.000000,6975.000000,6650.000000,6825.000000,6825.000000,16698300
2023-08-03,6850.000000,7250.000000,6850.000000,7225.000000,7225.000000,36491300
2023-08-04,7225.000000,7225.000000,7025.000000,7075.000000,7075.000000,12539100
2023-08-07,7075.000000,7125.000000,6875.000000,6950.000000,6950.000000,10112300
2023-08-08,6925.000000,6975.000000,6800.000000,6850.000000,6850.000000,12971800
2023-08-09,6850.000000,6925.000000,6600.000000,6675.000000,6675.000000,26885900
2023-08-10,6675.000000,6750.000000,6650.000000,6650.000000,6650.000000,7660700
2023-08-11,6700.000000,6775.000000,6675.000000,6725.000000,6725.000000,7848200
2023-08-14,6775.000000,6850.000000,6700.000000,6850.000000,6850.000000,7277300
2023-08-15,6850.000000,6900.000000,6775.000000,6850.000000,6850.000000,5339200
2023-08-16,6850.000000,6925.000000,6775.000000,6925.000000,6925.000000,3655100
2023-08-18,6925.000000,6925.000000,6700.000000,6725.000000,6725.000000,9581000
2023-08-21,6725.000000,6800.000000,6675.000000,6700.000000,6700.000000,11999800
2023-08-22,6700.000000,6800.000000,6700.000000,6750.000000,6750.000000,5463900
2023-08-23,6750.000000,6825.000000,6725.000000,6725.000000,6725.000000,6978300
2023-08-24,6750.000000,7000.000000,6750.000000,6875.000000,6875.000000,19141200
2023-08-25,6900.000000,7000.000000,6875.000000,6875.000000,6875.000000,7441100
2023-08-28,6950.000000,6950.000000,6850.000000,6850.000000,6850.000000,1918600
2023-08-29,6875.000000,6925.000000,6825.000000,6875.000000,6875.000000,5150200
2023-08-30,6900.000000,6950.000000,6850.000000,6875.000000,6875.000000,6141100
2023-08-31,6900.000000,6925.000000,6775.000000,6800.000000,6800.000000,11044700
2023-09-01,6825.000000,6875.000000,6775.000000,6800.000000,6800.000000,3905100
2023-09-04,6825.000000,6950.000000,6750.000000,6775.000000,6775.000000,5524700
2023-09-05,6800.000000,6975.000000,6800.000000,6975.000000,6975.000000,10340100
2023-09-06,6975.000000,6975.000000,6875.000000,6875.000000,6875.000000,4497200
2023-09-07,6875.000000,6900.000000,6800.000000,6875.000000,6875.000000,3496800
2023-09-08,6875.000000,6925.000000,6800.000000,6925.000000,6925.000000,4613000
2023-09-11,6925.000000,7100.000000,6900.000000,7100.000000,7100.000000,8855600
2023-09-12,7100.000000,7100.000000,7000.000000,7025.000000,7025.000000,3803900
2023-09-13,7025.000000,7050.000000,6925.000000,6975.000000,6975.000000,4196500
2023-09-14,7000.000000,7050.000000,6950.000000,7000.000000,7000.000000,5283600
2023-09-15,7025.000000,7025.000000,6900.000000,7000.000000,7000.000000,6661200
2023-09-18,7000.000000,7025.000000,6875.000000,6875.000000,6875.000000,5554500
2023-09-19,6900.000000,6975.000000,6850.000000,6850.000000,6850.000000,4817500
2023-09-20,6875.000000,6950.000000,6850.000000,6875.000000,6875.000000,7999500
2023-09-21,6900.000000,6950.000000,6850.000000,6900.000000,6900.000000,2866700
2023-09-22,6900.000000,6900.000000,6850.000000,6850.000000,6850.000000,3635800
2023-09-25,6850.000000,6900.000000,6625.000000,6650.000000,6650.000000,9659700
2023-09-26,6650.000000,6750.000000,6525.000000,6550.000000,6550.000000,8460800
2023-09-27,6550.000000,6650.000000,6500.000000,6550.000000,6550.000000,7265600
2023-09-29,6575.000000,6625.000000,6425.000000,6425.000000,6425.000000,6352400
2023-10-02,6450.000000,6525.000000,6425.000000,6475.000000,6475.000000,4337800
2023-10-03,6500.000000,6500.000000,6375.000000,6400.000000,6400.000000,5909100
2023-10-04,6350.000000,6400.000000,6275.000000,6300.000000,6300.000000,10565200
2023-10-05,6375.000000,6375.000000,6225.000000,6250.000000,6250.000000,8835500
2023-10-06,6250.000000,6425.000000,6250.000000,6350.000000,6350.000000,5913300
2023-10-09,6400.000000,6650.000000,6400.000000,6600.000000,6600.000000,9458700
2023-10-10,6600.000000,6725.000000,6575.000000,6575.000000,6575.000000,5242800
2023-10-11,6675.000000,6750.000000,6525.000000,6525.000000,6525.000000,5492100
2023-10-12,6575.000000,6700.000000,6550.000000,6550.000000,6550.000000,5090800
2023-10-13,6625.000000,6650.000000,6525.000000,6575.000000,6575.000000,4250600
2023-10-16,6650.000000,6650.000000,6425.000000,6450.000000,6450.000000,4686800
2023-10-17,6525.000000,6625.000000,6450.000000,6575.000000,6575.000000,5030100
2023-10-18,6625.000000,6650.000000,6400.000000,6400.000000,6400.000000,7998500
